customer_id,customer_name,email,phone
C001,Rahul Sharma,rahul@email.com,9892932556
C002,Anita Verma,anita@email.com,9280446217
C003,Amit Patil,amit@email.com,9872584738
C004,Pooja Singh,pooja@email.com,9380335645
C005,Neha Joshi,neha@email.com,9146821106
C006,Rohit Mehta,rohit@email.com,9858666951
C007,Sneha Kulkarni,sneha@email.com,9224442525
C008,Vikas Yadav,vikas@email.com,9629427182
C009,Kiran Deshmukh,kiran@email.com,9469699204
C010,Sanjay Gupta,sanjay@email.com,9686232361
C011,Priya Nair,priya@email.com,9874216482
C012,Arjun Reddy,arjun@email.com,9778890129
C013,Meera Iyer,meera@email.com,9989441980
C014,Nikhil Jain,nikhil@email.com,9578741025
C015,Kavita Shah,kavita@email.com,9502350923
C016,Deepak Kumar,deepak@email.com,9927859242
C017,Ritu Agarwal,ritu@email.com,9587765554
C018,Suresh Pawar,suresh@email.com,9499010077
C019,Anjali Mishra,anjali@email.com,9867358429
C020,Manish Tiwari,manish@email.com,9183043199
